ja3_int,ja3s_int,sni_len,sni_entropy,sni_is_ip,ja3_freq,sni_freq,ja3_reuse_cnt,iat_mean,iat_std,iat_cv,iat_cnt
141459,55092,29,3.9783335811852645,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,223223,24,4.053508854797679,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,16,3.375,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,50353,17,3.3371753411230776,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,50353,17,3.3371753411230776,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,8491,20,3.6841837197791887,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,21,3.535174565635902,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,121006,20,3.2464393446710154,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,109500,15,3.32323142879762,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,109500,15,3.32323142879762,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,20,3.984183719779189,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,20,3.584183719779188,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
